id,land_cover_coordinates,gps_accuracy,land_cover_altitude,altitude_accuracy,file_explorer_image,study_area,camera_image,cover_type,secondary_class,tertiary_class,date_collected,collected_by,start_time,submission_time,enumerator,comments
11,"-1.272007, 36.81425",1244 meters,- meters,- meters,,geopsy,,Vegetated,Shrubland,Woody savanna,2022-07-07 16:26:06,1,4:22:57 PM,4:26:04 PM,dennis,
10,"-1.2760554, 36.8285261",16.82 meters,- meters,- meters,file-explorer-images/Data_extractor.png,test3,camera-images/Data_extractor.png,Vegetated,Shrubland,Woody savanna,2022-07-07 14:44:52,1,2:44:16 PM,2:44:49 PM,test3,test3
9,"-1.2760535, 36.8285353",45.60 meters,- meters,- meters,file-explorer-images/gps.png,test2,camera-images/UI.png,Vegetated,Shrubland,Woody savanna,2022-07-07 14:32:36,1,2:31:51 PM,2:32:34 PM,test,test2
8,"-1.2845056, 36.831232",1.159e+4 meters,- meters,- meters,,test,camera images/UI_cV83qRR.png,Non-vegetated,Urban,Built-up areas,2022-07-07 13:53:12,1,1:51:46 PM,1:53:08 PM,test,test
7,"36.723, -1.234",20,1500,20,file explorer images/3d-tuk.PNG,tuk,camera images/3d-tuk.PNG,urban,developed,town,2022-07-06 16:31:04,3,today,tommorow,david,demo
6,"-1.276048, 36.8285181",17.03 meters,1651.70 meters,- meters,file explorer images/Screenshot_2022-07-06-01-59-34-356_com.android.chrome.jpg,Success,camera images/16570619507557818284261203252063.jpg,Non-vegetated,Urban,Built-up areas,2022-07-06 02:00:37,1,1:58:55 AM,2:00:32 AM,Success,Successful data collection
5,"-1.2760411, 36.8285308",17.67 meters,1651.70 meters,- meters,file explorer images/1650909100857.jpg,Phone test 2,camera images/16570613263601854778356876330594.jpg,Non-vegetated,Urban,Built-up areas,2022-07-06 01:50:19,1,1:48:10 AM,1:50:16 AM,Phone test 2,Phone test 2
4,"-1.2760243, 36.8285423",20.00 meters,1651.70 meters,1.057 meters,file explorer images/IMG-20220628-WA0001.jpg,p,camera images/2022-07-0601.44.441574675550441419510.jpg,Non-vegetated,Urban,Built-up areas,2022-07-06 01:45:44,1,1:44:17 AM,1:45:39 AM,phone test,Phone test
3,"-1.2362098, 36.863172",3351 meters,- meters,- meters,file explorer images/terrain.png,"test = ""pass""",camera images/zooming-police_jrZ3TMY.png,Vegetated,Cropland,Seasonal cropland,2022-07-06 01:11:19,2,1:10:25 AM,1:11:14 AM,"test = ""pass""","test = ""pass"""
2,"-1.2362098, 36.863172",3351 meters,- meters,- meters,file explorer images/dark_rWm5XcL.png,test 2,camera images/street-route.png,Vegetated,Shrubland,Woody savanna,2022-07-06 00:50:11,1,12:49:19 AM,12:50:07 AM,dennis,test 2
1,"-1.2362098, 36.863172",3351 meters,- meters,- meters,,test,camera images/Data_extractor.png,Vegetated,Cropland,Perenial cropland,2022-07-06 00:42:40,1,12:41:15 AM,12:42:37 AM,fg,test
